Year ,AUC,AR,MSP,CPI,FPI,CY
1980,6.01,1182.3,160,82.4,93.2,6.96
1981,5.94,1170.7,165,90.9,93.8,6.90
1982,5.72,1084.4,170,96.5,94,6.55
1983,5.86,1320.9,170,99.6,94.2,7.92
1984,5.80,1160.8,185,103.9,94.7,8.44
1985,5.80,1144.9,190,107.6,95.4,6.64
1986,5.92,1137.6,190,109.6,95.8,7.59
1987,5.56,1088.9,200,113.6,96,5.72
1988,5.90,1342.1,205,118.3,96.3,8.23
1989,5.92,1127.4,215,124,96.8,9.65
1990,5.90,1401.4,220,130.7,97.3,8.96
1991,5.86,1170.2,240,136.2,95.8,8.06
1992,5.96,1102.7,245,140.3,101.1,9.99
1993,6.00,1207.8,265,144.5,98.4,9.60
1994,6.14,1295.3,290,148.2,103.0,8.88
1995,5.98,1242.4,310,152.4,116.6,9.53
1996,6.26,1182.9,320,156.9,137.9,10.77
1997,6.32,1183.1,360,160.5,110.7,10.82
1998,6.20,1208.8,390,163,98.3,11.15
1999,6.42,1116.6,415,166.6,89.3,11.51
2000,6.61,1035.4,445,172.2,85.8,12.04
2001,6.58,1100.7,485,177.1,86.8,13.16
2002,6.64,935.9,485,179.88,93.7,11.15
2003,7.34,1187.3,505,183.96,99.2,14.98
2004,7.43,1106.5,525,188.9,107.1,14.17
2005,7.59,1208.3,540,195.3,101.3,14.71
2006,7.89,1161.6,540,201.6,118.9,15.10
2007,8.12,1179.3,620,207.342,163.4,18.96
2008,8.17,1118,840,214.537,232.1,19.73
2009,8.26,953.7,840,215.303,170.2,16.72
2010,8.49,1215.5,880,218.056,179.2,21.28
2011,7.27,1116.3,980,224.939,240.9,15.86
